SPX Index;;;S5SFTW Index;;;S5PHRM Index;;;S5CPGS Index;;;S5ENRSX Index;;;S5FDBT Index;;;S5TECH Index;;;S5RETL Index;;;S5BANKX Index;;;S5HCES Index;;;S5DIVF Index;;;S5UTILX Index;;;S5MEDA Index;;;S5REAL Index;;;S5TELSX Index;;;S5MATRX Index;;;S5INSU Index;;;S5FDSR Index;;;S5HOUS Index;;;S5SSEQX Index;;;S5TRAN Index;;;S5HOTR Index;;;S5CODU Index;;;S5AUCO Index;;;S5COMS Index;
Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST
7/4/2002;953.99;;7/4/2002;342.14;;7/4/2002;316.18;;7/4/2002;233.7;;7/4/2002;212.43;;7/4/2002;223.14;;7/4/2002;198.81;;7/4/2002;318.81;;7/4/2002;298.86;;7/4/2002;231.4;;7/4/2002;445.75;;7/4/2002;117.04;;7/4/2002;176.03;;7/4/2002;94.08;;7/4/2002;103.46;;7/4/2002;138.28;;7/4/2002;285.18;;7/4/2002;220.47;;7/4/2002;250.31;;7/4/2002;295.9;;7/4/2002;193.5;;7/4/2002;194.66;;7/4/2002;133.37;;7/4/2002;146.5;;7/4/2002;152.34
7/5/2002;989.03;;7/5/2002;358.3;;7/5/2002;328.69;;7/5/2002;244.96;;7/5/2002;217.48;;7/5/2002;225.59;;7/5/2002;213.4;;7/5/2002;328.78;;7/5/2002;308.46;;7/5/2002;238.7;;7/5/2002;467.09;;7/5/2002;118.3;;7/5/2002;183.95;;7/5/2002;94.85;;7/5/2002;106.78;;7/5/2002;142.07;;7/5/2002;293.12;;7/5/2002;224.3;;7/5/2002;256.04;;7/5/2002;323.93;;7/5/2002;197.59;;7/5/2002;200.55;;7/5/2002;138.28;;7/5/2002;151.19;;7/5/2002;158.24
7/8/2002;976.98;;7/8/2002;343.6;;7/8/2002;324.39;;7/8/2002;242.31;;7/8/2002;215.79;;7/8/2002;227.96;;7/8/2002;205.27;;7/8/2002;324.66;;7/8/2002;310.61;;7/8/2002;235.65;;7/8/2002;460.13;;7/8/2002;117.17;;7/8/2002;178.53;;7/8/2002;93.82;;7/8/2002;106.58;;7/8/2002;141.5;;7/8/2002;292.54;;7/8/2002;223.42;;7/8/2002;255.07;;7/8/2002;307.93;;7/8/2002;195.24;;7/8/2002;200.41;;7/8/2002;138.32;;7/8/2002;149.58;;7/8/2002;153.95
7/9/2002;952.83;;7/9/2002;343.46;;7/9/2002;308.37;;7/9/2002;237.31;;7/9/2002;212.89;;7/9/2002;222.1;;7/9/2002;200.73;;7/9/2002;317.17;;7/9/2002;303.19;;7/9/2002;226.82;;7/9/2002;445.45;;7/9/2002;113.58;;7/9/2002;174.06;;7/9/2002;92.91;;7/9/2002;104;;7/9/2002;140.11;;7/9/2002;284.84;;7/9/2002;220.58;;7/9/2002;249.34;;7/9/2002;297.42;;7/9/2002;192.45;;7/9/2002;196.67;;7/9/2002;136.52;;7/9/2002;147.44;;7/9/2002;148.73
7/10/2002;920.47;;7/10/2002;335.91;;7/10/2002;292.23;;7/10/2002;228.09;;7/10/2002;203.65;;7/10/2002;216.49;;7/10/2002;194.9;;7/10/2002;308.58;;7/10/2002;294.34;;7/10/2002;217.55;;7/10/2002;432.87;;7/10/2002;107.33;;7/10/2002;164.04;;7/10/2002;90.96;;7/10/2002;102.21;;7/10/2002;136.09;;7/10/2002;272.49;;7/10/2002;214.84;;7/10/2002;247.25;;7/10/2002;282.03;;7/10/2002;189.21;;7/10/2002;193.8;;7/10/2002;133.3;;7/10/2002;140.28;;7/10/2002;145.06
7/11/2002;927.37;;7/11/2002;341.08;;7/11/2002;298.39;;7/11/2002;228.72;;7/11/2002;198.77;;7/11/2002;212.23;;7/11/2002;203.27;;7/11/2002;306.51;;7/11/2002;296.15;;7/11/2002;220.81;;7/11/2002;438.75;;7/11/2002;110.83;;7/11/2002;168.52;;7/11/2002;89.47;;7/11/2002;105.31;;7/11/2002;134.1;;7/11/2002;275.39;;7/11/2002;212.2;;7/11/2002;243.31;;7/11/2002;303.2;;7/11/2002;184.7;;7/11/2002;193.33;;7/11/2002;131.56;;7/11/2002;137.02;;7/11/2002;147.22
7/12/2002;921.39;;7/12/2002;338.61;;7/12/2002;301.37;;7/12/2002;230.41;;7/12/2002;195.89;;7/12/2002;206.45;;7/12/2002;205.56;;7/12/2002;296.27;;7/12/2002;291.17;;7/12/2002;224.63;;7/12/2002;436.88;;7/12/2002;107.14;;7/12/2002;170.58;;7/12/2002;88.84;;7/12/2002;103.07;;7/12/2002;133.27;;7/12/2002;274.85;;7/12/2002;214.29;;7/12/2002;237.83;;7/12/2002;304.71;;7/12/2002;182.71;;7/12/2002;192.12;;7/12/2002;130.32;;7/12/2002;134.49;;7/12/2002;147.06
7/15/2002;917.93;;7/15/2002;340.06;;7/15/2002;295.36;;7/15/2002;227.8;;7/15/2002;190.92;;7/15/2002;206.92;;7/15/2002;211.93;;7/15/2002;298.64;;7/15/2002;288.62;;7/15/2002;222.12;;7/15/2002;437.79;;7/15/2002;108.68;;7/15/2002;168.9;;7/15/2002;87.78;;7/15/2002;103.11;;7/15/2002;130.08;;7/15/2002;273.26;;7/15/2002;211.9;;7/15/2002;233.73;;7/15/2002;320.75;;7/15/2002;180.41;;7/15/2002;189.3;;7/15/2002;128.93;;7/15/2002;135.16;;7/15/2002;146.87
7/16/2002;901.05;;7/16/2002;337.27;;7/16/2002;294.37;;7/16/2002;222.33;;7/16/2002;187.66;;7/16/2002;201;;7/16/2002;208.81;;7/16/2002;284.81;;7/16/2002;284.93;;7/16/2002;219.66;;7/16/2002;432.01;;7/16/2002;105.43;;7/16/2002;163.1;;7/16/2002;88.14;;7/16/2002;102.98;;7/16/2002;127.84;;7/16/2002;265.86;;7/16/2002;205.99;;7/16/2002;230.77;;7/16/2002;312.22;;7/16/2002;180.27;;7/16/2002;186.37;;7/16/2002;124.88;;7/16/2002;130.72;;7/16/2002;144.2
7/17/2002;906.04;;7/17/2002;343.35;;7/17/2002;299.88;;7/17/2002;225.15;;7/17/2002;189.97;;7/17/2002;204.88;;7/17/2002;211.32;;7/17/2002;279.41;;7/17/2002;284.44;;7/17/2002;227.05;;7/17/2002;427.73;;7/17/2002;104.26;;7/17/2002;166.99;;7/17/2002;86.85;;7/17/2002;101.69;;7/17/2002;128.58;;7/17/2002;261.84;;7/17/2002;207.82;;7/17/2002;227.7;;7/17/2002;318.86;;7/17/2002;181.5;;7/17/2002;184.61;;7/17/2002;123.75;;7/17/2002;130.03;;7/17/2002;147.54
7/18/2002;881.56;;7/18/2002;333.49;;7/18/2002;286.22;;7/18/2002;221.58;;7/18/2002;187.69;;7/18/2002;198.21;;7/18/2002;207.65;;7/18/2002;274.86;;7/18/2002;272.27;;7/18/2002;215.31;;7/18/2002;420.97;;7/18/2002;101.04;;7/18/2002;162.62;;7/18/2002;84.93;;7/18/2002;99.54;;7/18/2002;126.62;;7/18/2002;248.86;;7/18/2002;203.79;;7/18/2002;225.74;;7/18/2002;310.6;;7/18/2002;179.11;;7/18/2002;181.35;;7/18/2002;123;;7/18/2002;130.04;;7/18/2002;136.35
7/19/2002;847.76;;7/19/2002;323.57;;7/19/2002;273.4;;7/19/2002;212.11;;7/19/2002;176.09;;7/19/2002;187;;7/19/2002;200.85;;7/19/2002;266.87;;7/19/2002;265.54;;7/19/2002;210.17;;7/19/2002;408.5;;7/19/2002;95.77;;7/19/2002;153.13;;7/19/2002;82.34;;7/19/2002;95.15;;7/19/2002;120.98;;7/19/2002;247.98;;7/19/2002;198.25;;7/19/2002;213.16;;7/19/2002;304.17;;7/19/2002;175.34;;7/19/2002;175.03;;7/19/2002;118.47;;7/19/2002;125.06;;7/19/2002;131.89
7/22/2002;819.85;;7/22/2002;306.38;;7/22/2002;269.26;;7/22/2002;206.1;;7/22/2002;164.78;;7/22/2002;187.75;;7/22/2002;193.15;;7/22/2002;257.59;;7/22/2002;261.86;;7/22/2002;200.94;;7/22/2002;381.5;;7/22/2002;93.8;;7/22/2002;151.81;;7/22/2002;81.32;;7/22/2002;85.82;;7/22/2002;115.78;;7/22/2002;243.06;;7/22/2002;196.72;;7/22/2002;220.63;;7/22/2002;296.53;;7/22/2002;166.04;;7/22/2002;170.38;;7/22/2002;115.4;;7/22/2002;122.27;;7/22/2002;130.27
7/23/2002;797.7;;7/23/2002;287.55;;7/23/2002;268.74;;7/23/2002;202.72;;7/23/2002;163.83;;7/23/2002;188.88;;7/23/2002;186.04;;7/23/2002;257.43;;7/23/2002;253.17;;7/23/2002;199.07;;7/23/2002;352.98;;7/23/2002;85.73;;7/23/2002;143.17;;7/23/2002;79.44;;7/23/2002;81.27;;7/23/2002;114.22;;7/23/2002;230.13;;7/23/2002;191.89;;7/23/2002;227.81;;7/23/2002;286.6;;7/23/2002;160.66;;7/23/2002;169.67;;7/23/2002;115.62;;7/23/2002;121.98;;7/23/2002;129.26
7/24/2002;843.42;;7/24/2002;309.09;;7/24/2002;285.78;;7/24/2002;215.26;;7/24/2002;176.61;;7/24/2002;196.65;;7/24/2002;194.08;;7/24/2002;277.46;;7/24/2002;264.37;;7/24/2002;211.66;;7/24/2002;380.76;;7/24/2002;93.32;;7/24/2002;149.27;;7/24/2002;80.31;;7/24/2002;83.36;;7/24/2002;121.96;;7/24/2002;240.18;;7/24/2002;202.17;;7/24/2002;237.13;;7/24/2002;300.13;;7/24/2002;164.16;;7/24/2002;179.07;;7/24/2002;121.47;;7/24/2002;129.17;;7/24/2002;134.48
7/25/2002;838.68;;7/25/2002;289.27;;7/25/2002;296.52;;7/25/2002;215.77;;7/25/2002;175.53;;7/25/2002;201.41;;7/25/2002;180.25;;7/25/2002;271.08;;7/25/2002;266.36;;7/25/2002;216.02;;7/25/2002;375.43;;7/25/2002;96.47;;7/25/2002;146.69;;7/25/2002;81.36;;7/25/2002;83.82;;7/25/2002;124.57;;7/25/2002;239.45;;7/25/2002;202.11;;7/25/2002;241.39;;7/25/2002;274.33;;7/25/2002;167.25;;7/25/2002;170.89;;7/25/2002;121.16;;7/25/2002;128.23;;7/25/2002;133
7/26/2002;852.84;;7/26/2002;302.72;;7/26/2002;306.44;;7/26/2002;221.37;;7/26/2002;179.65;;7/26/2002;202.43;;7/26/2002;178.87;;7/26/2002;275.95;;7/26/2002;272.13;;7/26/2002;216.42;;7/26/2002;382.92;;7/26/2002;94.9;;7/26/2002;148.15;;7/26/2002;84.39;;7/26/2002;84.25;;7/26/2002;125;;7/26/2002;251.51;;7/26/2002;207.33;;7/26/2002;239.71;;7/26/2002;276.22;;7/26/2002;168.33;;7/26/2002;174.83;;7/26/2002;121.97;;7/26/2002;127.22;;7/26/2002;135.08
7/29/2002;898.96;;7/29/2002;319.5;;7/29/2002;319.28;;7/29/2002;235.8;;7/29/2002;188.1;;7/29/2002;209.65;;7/29/2002;192.84;;7/29/2002;288.78;;7/29/2002;287.94;;7/29/2002;225.82;;7/29/2002;408.17;;7/29/2002;96.4;;7/29/2002;159.04;;7/29/2002;89.18;;7/29/2002;87.75;;7/29/2002;132.02;;7/29/2002;270.28;;7/29/2002;213.39;;7/29/2002;247.24;;7/29/2002;293.37;;7/29/2002;173.94;;7/29/2002;185.33;;7/29/2002;129.52;;7/29/2002;134.2;;7/29/2002;144.78
7/30/2002;902.78;;7/30/2002;322.53;;7/30/2002;323.42;;7/30/2002;240.02;;7/30/2002;185.77;;7/30/2002;206.14;;7/30/2002;195.91;;7/30/2002;285.61;;7/30/2002;286.53;;7/30/2002;226.06;;7/30/2002;413.47;;7/30/2002;103.97;;7/30/2002;161.56;;7/30/2002;89.68;;7/30/2002;88.58;;7/30/2002;126.79;;7/30/2002;270.93;;7/30/2002;209.8;;7/30/2002;246.15;;7/30/2002;298.45;;7/30/2002;174.5;;7/30/2002;184.02;;7/30/2002;128.66;;7/30/2002;134.21;;7/30/2002;142.63
7/31/2002;911.62;;7/31/2002;320.72;;7/31/2002;331.82;;7/31/2002;241.08;;7/31/2002;189.85;;7/31/2002;210.44;;7/31/2002;191.86;;7/31/2002;283.32;;7/31/2002;294.62;;7/31/2002;231.39;;7/31/2002;413.69;;7/31/2002;105.54;;7/31/2002;160.7;;7/31/2002;89.71;;7/31/2002;93.67;;7/31/2002;126.83;;7/31/2002;276.15;;7/31/2002;213.7;;7/31/2002;250.42;;7/31/2002;289.44;;7/31/2002;176.37;;7/31/2002;184.88;;7/31/2002;127.18;;7/31/2002;134.67;;7/31/2002;140.4
8/1/2002;884.66;;8/1/2002;304.81;;8/1/2002;320.46;;8/1/2002;235.89;;8/1/2002;176.64;;8/1/2002;208.47;;8/1/2002;182.22;;8/1/2002;271.82;;8/1/2002;286.21;;8/1/2002;227.04;;8/1/2002;405.02;;8/1/2002;103.29;;8/1/2002;155.93;;8/1/2002;88.3;;8/1/2002;90.91;;8/1/2002;126.44;;8/1/2002;271.63;;8/1/2002;212.35;;8/1/2002;248.44;;8/1/2002;270.46;;8/1/2002;172.98;;8/1/2002;179.5;;8/1/2002;126.82;;8/1/2002;132.46;;8/1/2002;137.82
8/2/2002;864.24;;8/2/2002;296.21;;8/2/2002;319.58;;8/2/2002;226.41;;8/2/2002;175.16;;8/2/2002;208.73;;8/2/2002;176.71;;8/2/2002;262.52;;8/2/2002;281.96;;8/2/2002;224.89;;8/2/2002;390.04;;8/2/2002;101.09;;8/2/2002;146.71;;8/2/2002;87.39;;8/2/2002;91.19;;8/2/2002;120.71;;8/2/2002;261.97;;8/2/2002;207.1;;8/2/2002;250.78;;8/2/2002;258.8;;8/2/2002;167.6;;8/2/2002;172.11;;8/2/2002;122.26;;8/2/2002;126.1;;8/2/2002;133.56
8/5/2002;834.6;;8/5/2002;289.82;;8/5/2002;305.86;;8/5/2002;217.94;;8/5/2002;168.87;;8/5/2002;206.33;;8/5/2002;168.04;;8/5/2002;258.64;;8/5/2002;273.32;;8/5/2002;217.05;;8/5/2002;371.85;;8/5/2002;99.78;;8/5/2002;137.41;;8/5/2002;85.81;;8/5/2002;86.16;;8/5/2002;117.07;;8/5/2002;252.64;;8/5/2002;204.14;;8/5/2002;244.11;;8/5/2002;243.56;;8/5/2002;163.07;;8/5/2002;170.89;;8/5/2002;120.2;;8/5/2002;120.5;;8/5/2002;129.4
8/6/2002;859.57;;8/6/2002;301.36;;8/6/2002;312.59;;8/6/2002;226.78;;8/6/2002;174.47;;8/6/2002;206.18;;8/6/2002;177.39;;8/6/2002;267.98;;8/6/2002;282.31;;8/6/2002;220.66;;8/6/2002;384.27;;8/6/2002;103.17;;8/6/2002;143.32;;8/6/2002;85.98;;8/6/2002;86.55;;8/6/2002;121.37;;8/6/2002;259.69;;8/6/2002;209.49;;8/6/2002;243.76;;8/6/2002;260.05;;8/6/2002;167.64;;8/6/2002;173.56;;8/6/2002;123.73;;8/6/2002;124.74;;8/6/2002;134.34
8/7/2002;876.77;;8/7/2002;309.26;;8/7/2002;325.04;;8/7/2002;233.08;;8/7/2002;177.7;;8/7/2002;209.43;;8/7/2002;182.04;;8/7/2002;271.61;;8/7/2002;286.7;;8/7/2002;226.06;;8/7/2002;390.58;;8/7/2002;104.1;;8/7/2002;145.86;;8/7/2002;87.57;;8/7/2002;85.75;;8/7/2002;124.03;;8/7/2002;262.43;;8/7/2002;214.5;;8/7/2002;248.82;;8/7/2002;266.53;;8/7/2002;169.65;;8/7/2002;175.49;;8/7/2002;123.93;;8/7/2002;127.1;;8/7/2002;136.03
8/8/2002;905.46;;8/8/2002;321.76;;8/8/2002;336.26;;8/8/2002;240.79;;8/8/2002;185.62;;8/8/2002;214.63;;8/8/2002;188.8;;8/8/2002;269.87;;8/8/2002;299.03;;8/8/2002;234.28;;8/8/2002;413.9;;8/8/2002;105.58;;8/8/2002;151.23;;8/8/2002;88;;8/8/2002;88.54;;8/8/2002;126.79;;8/8/2002;274.31;;8/8/2002;219.27;;8/8/2002;254.77;;8/8/2002;277.91;;8/8/2002;174.39;;8/8/2002;176.67;;8/8/2002;126.36;;8/8/2002;127.94;;8/8/2002;138.71
8/9/2002;908.64;;8/9/2002;317.5;;8/9/2002;335.77;;8/9/2002;242.03;;8/9/2002;187.88;;8/9/2002;216.6;;8/9/2002;186.96;;8/9/2002;272.38;;8/9/2002;300.71;;8/9/2002;233.91;;8/9/2002;420.59;;8/9/2002;106.2;;8/9/2002;150.83;;8/9/2002;86.39;;8/9/2002;89.18;;8/9/2002;128.37;;8/9/2002;278.48;;8/9/2002;219.55;;8/9/2002;254.19;;8/9/2002;272.65;;8/9/2002;175.12;;8/9/2002;176.84;;8/9/2002;126.79;;8/9/2002;128.33;;8/9/2002;137.19
8/12/2002;903.8;;8/12/2002;318.13;;8/12/2002;337.03;;8/12/2002;241.02;;8/12/2002;187.18;;8/12/2002;216.53;;8/12/2002;185.6;;8/12/2002;266.3;;8/12/2002;298.49;;8/12/2002;232.67;;8/12/2002;415.53;;8/12/2002;108.09;;8/12/2002;149.37;;8/12/2002;86.72;;8/12/2002;89.31;;8/12/2002;127.42;;8/12/2002;274.83;;8/12/2002;217.15;;8/12/2002;252.97;;8/12/2002;267.7;;8/12/2002;172.17;;8/12/2002;178;;8/12/2002;125.72;;8/12/2002;126.55;;8/12/2002;136.14
8/13/2002;884.21;;8/13/2002;306.65;;8/13/2002;325.69;;8/13/2002;232.25;;8/13/2002;183.82;;8/13/2002;215.78;;8/13/2002;181.94;;8/13/2002;266.46;;8/13/2002;292.23;;8/13/2002;226.35;;8/13/2002;406.53;;8/13/2002;105.21;;8/13/2002;145.89;;8/13/2002;85.48;;8/13/2002;87.87;;8/13/2002;125.52;;8/13/2002;265.38;;8/13/2002;214.21;;8/13/2002;250.62;;8/13/2002;256.23;;8/13/2002;170.58;;8/13/2002;173.66;;8/13/2002;124.27;;8/13/2002;124.11;;8/13/2002;135.12
8/14/2002;919.62;;8/14/2002;325.9;;8/14/2002;338.14;;8/14/2002;236.99;;8/14/2002;190.84;;8/14/2002;221.99;;8/14/2002;194.31;;8/14/2002;284.33;;8/14/2002;300.66;;8/14/2002;232.98;;8/14/2002;426.86;;8/14/2002;108.18;;8/14/2002;153.74;;8/14/2002;86.5;;8/14/2002;92.55;;8/14/2002;127.41;;8/14/2002;273.99;;8/14/2002;221.63;;8/14/2002;257.75;;8/14/2002;276.71;;8/14/2002;173.85;;8/14/2002;177.53;;8/14/2002;127.4;;8/14/2002;125.61;;8/14/2002;140.46
8/15/2002;930.25;;8/15/2002;328.85;;8/15/2002;339.63;;8/15/2002;239.17;;8/15/2002;195.17;;8/15/2002;220.02;;8/15/2002;196.55;;8/15/2002;295.8;;8/15/2002;303.57;;8/15/2002;233.13;;8/15/2002;432.02;;8/15/2002;108.21;;8/15/2002;162.88;;8/15/2002;87.22;;8/15/2002;92.21;;8/15/2002;126.97;;8/15/2002;276.77;;8/15/2002;224.56;;8/15/2002;254.78;;8/15/2002;280.87;;8/15/2002;175.11;;8/15/2002;185.56;;8/15/2002;130.91;;8/15/2002;128.82;;8/15/2002;143.62
8/16/2002;928.77;;8/16/2002;332.02;;8/16/2002;335.54;;8/16/2002;236.73;;8/16/2002;193.18;;8/16/2002;220.33;;8/16/2002;201.97;;8/16/2002;291.11;;8/16/2002;302.04;;8/16/2002;232.28;;8/16/2002;427.19;;8/16/2002;106.46;;8/16/2002;166;;8/16/2002;88.2;;8/16/2002;95.14;;8/16/2002;124.68;;8/16/2002;276.13;;8/16/2002;222.47;;8/16/2002;252.85;;8/16/2002;292.49;;8/16/2002;176.71;;8/16/2002;183.49;;8/16/2002;129.91;;8/16/2002;127.64;;8/16/2002;146.07
8/19/2002;950.72;;8/19/2002;346.42;;8/19/2002;341.24;;8/19/2002;244.31;;8/19/2002;194.18;;8/19/2002;220.92;;8/19/2002;208.2;;8/19/2002;299.4;;8/19/2002;307.75;;8/19/2002;235.61;;8/19/2002;441.93;;8/19/2002;108.15;;8/19/2002;172.59;;8/19/2002;88.12;;8/19/2002;99.35;;8/19/2002;127.36;;8/19/2002;284;;8/19/2002;225.32;;8/19/2002;253.87;;8/19/2002;304.34;;8/19/2002;179.01;;8/19/2002;189.11;;8/19/2002;131.4;;8/19/2002;132.23;;8/19/2002;148.23
8/20/2002;937.43;;8/20/2002;339.66;;8/20/2002;337.04;;8/20/2002;241.05;;8/20/2002;189.16;;8/20/2002;219.66;;8/20/2002;203.49;;8/20/2002;297.33;;8/20/2002;302.48;;8/20/2002;234.67;;8/20/2002;434.83;;8/20/2002;108.37;;8/20/2002;171.36;;8/20/2002;88.15;;8/20/2002;95.76;;8/20/2002;125.5;;8/20/2002;280.92;;8/20/2002;223.95;;8/20/2002;252.6;;8/20/2002;293.27;;8/20/2002;177.4;;8/20/2002;185.27;;8/20/2002;131.49;;8/20/2002;131.02;;8/20/2002;146.75
8/21/2002;949.36;;8/21/2002;347.49;;8/21/2002;343.32;;8/21/2002;242.5;;8/21/2002;190.77;;8/21/2002;219.65;;8/21/2002;208.83;;8/21/2002;301.46;;8/21/2002;304.34;;8/21/2002;235.96;;8/21/2002;439.37;;8/21/2002;111.5;;8/21/2002;176.97;;8/21/2002;88.61;;8/21/2002;98.46;;8/21/2002;126.57;;8/21/2002;278.92;;8/21/2002;223.12;;8/21/2002;254.48;;8/21/2002;305.62;;8/21/2002;181.24;;8/21/2002;185.48;;8/21/2002;131.88;;8/21/2002;132.45;;8/21/2002;148.02
8/22/2002;962.7;;8/22/2002;355.97;;8/22/2002;354.58;;8/22/2002;244.76;;8/22/2002;195.18;;8/22/2002;219.58;;8/22/2002;210.02;;8/22/2002;304.12;;8/22/2002;307.25;;8/22/2002;240.68;;8/22/2002;444.74;;8/22/2002;113.32;;8/22/2002;178.83;;8/22/2002;88.71;;8/22/2002;99.1;;8/22/2002;128.17;;8/22/2002;284.03;;8/22/2002;226.42;;8/22/2002;254.67;;8/22/2002;302.1;;8/22/2002;182.21;;8/22/2002;188.24;;8/22/2002;134.33;;8/22/2002;134.77;;8/22/2002;151.35
8/23/2002;940.86;;8/23/2002;347.31;;8/23/2002;346.1;;8/23/2002;240.16;;8/23/2002;191.97;;8/23/2002;216.87;;8/23/2002;201.23;;8/23/2002;297.59;;8/23/2002;301.51;;8/23/2002;237.09;;8/23/2002;435.22;;8/23/2002;111.47;;8/23/2002;170.44;;8/23/2002;88.93;;8/23/2002;96.1;;8/23/2002;126.14;;8/23/2002;277.42;;8/23/2002;221.67;;8/23/2002;252.02;;8/23/2002;284.06;;8/23/2002;178.71;;8/23/2002;187.5;;8/23/2002;132.19;;8/23/2002;132.03;;8/23/2002;147.48
8/26/2002;947.95;;8/26/2002;345.64;;8/26/2002;348.32;;8/26/2002;239.99;;8/26/2002;194.52;;8/26/2002;217.32;;8/26/2002;202.54;;8/26/2002;299.33;;8/26/2002;306.34;;8/26/2002;239.83;;8/26/2002;440.92;;8/26/2002;113.66;;8/26/2002;171.66;;8/26/2002;89.81;;8/26/2002;97.85;;8/26/2002;128;;8/26/2002;278.6;;8/26/2002;222.36;;8/26/2002;251.86;;8/26/2002;285.48;;8/26/2002;178.74;;8/26/2002;186.23;;8/26/2002;132.3;;8/26/2002;135;;8/26/2002;149.45
8/27/2002;934.82;;8/27/2002;335.71;;8/27/2002;338.79;;8/27/2002;240.35;;8/27/2002;194.34;;8/27/2002;216.37;;8/27/2002;194.99;;8/27/2002;293.7;;8/27/2002;306.91;;8/27/2002;235.03;;8/27/2002;435.58;;8/27/2002;111.89;;8/27/2002;168.76;;8/27/2002;90.19;;8/27/2002;96.54;;8/27/2002;128.2;;8/27/2002;273.49;;8/27/2002;220.79;;8/27/2002;253.6;;8/27/2002;269.41;;8/27/2002;178.28;;8/27/2002;184.7;;8/27/2002;131.13;;8/27/2002;133.4;;8/27/2002;146.68
8/28/2002;917.87;;8/28/2002;325.56;;8/28/2002;336.2;;8/28/2002;236.19;;8/28/2002;189.27;;8/28/2002;214.62;;8/28/2002;189.13;;8/28/2002;291.4;;8/28/2002;301.43;;8/28/2002;231.16;;8/28/2002;426.97;;8/28/2002;111.19;;8/28/2002;164.6;;8/28/2002;91.14;;8/28/2002;93.81;;8/28/2002;124.49;;8/28/2002;267.3;;8/28/2002;216.14;;8/28/2002;251.91;;8/28/2002;261.04;;8/28/2002;175.47;;8/28/2002;181.99;;8/28/2002;129.96;;8/28/2002;131.94;;8/28/2002;143.19
8/29/2002;917.8;;8/29/2002;332.72;;8/29/2002;335.58;;8/29/2002;232.44;;8/29/2002;187.6;;8/29/2002;212.2;;8/29/2002;191.11;;8/29/2002;291.49;;8/29/2002;302.78;;8/29/2002;232.05;;8/29/2002;427.11;;8/29/2002;109.67;;8/29/2002;169.25;;8/29/2002;90.31;;8/29/2002;94.02;;8/29/2002;124.53;;8/29/2002;269.17;;8/29/2002;211.26;;8/29/2002;249.08;;8/29/2002;262.96;;8/29/2002;173.68;;8/29/2002;182.26;;8/29/2002;128.03;;8/29/2002;133.19;;8/29/2002;143.01
8/30/2002;916.07;;8/30/2002;323.79;;8/30/2002;335.8;;8/30/2002;232.92;;8/30/2002;188.98;;8/30/2002;214.24;;8/30/2002;187.15;;8/30/2002;292.97;;8/30/2002;304.54;;8/30/2002;232.92;;8/30/2002;426.63;;8/30/2002;108.8;;8/30/2002;168.08;;8/30/2002;90.79;;8/30/2002;92.02;;8/30/2002;125.93;;8/30/2002;269.76;;8/30/2002;210.23;;8/30/2002;251.49;;8/30/2002;257.83;;8/30/2002;174.27;;8/30/2002;181.25;;8/30/2002;127.94;;8/30/2002;132.62;;8/30/2002;142.65
9/2/2002;916.07;;9/2/2002;323.79;;9/2/2002;335.8;;9/2/2002;232.92;;9/2/2002;188.98;;9/2/2002;214.24;;9/2/2002;187.15;;9/2/2002;292.97;;9/2/2002;304.54;;9/2/2002;232.92;;9/2/2002;426.63;;9/2/2002;108.8;;9/2/2002;168.08;;9/2/2002;90.79;;9/2/2002;92.02;;9/2/2002;125.93;;9/2/2002;269.76;;9/2/2002;210.23;;9/2/2002;251.49;;9/2/2002;257.83;;9/2/2002;174.27;;9/2/2002;181.25;;9/2/2002;127.94;;9/2/2002;132.62;;9/2/2002;142.65
9/3/2002;878.02;;9/3/2002;309.28;;9/3/2002;320.45;;9/3/2002;222.69;;9/3/2002;180.1;;9/3/2002;209.86;;9/3/2002;178.69;;9/3/2002;284.41;;9/3/2002;293.08;;9/3/2002;225.12;;9/3/2002;398.38;;9/3/2002;105;;9/3/2002;158.98;;9/3/2002;89.2;;9/3/2002;86.24;;9/3/2002;121.99;;9/3/2002;258.34;;9/3/2002;204.83;;9/3/2002;245.62;;9/3/2002;245.19;;9/3/2002;170.49;;9/3/2002;175.75;;9/3/2002;124.36;;9/3/2002;126.64;;9/3/2002;137.75
9/4/2002;893.4;;9/4/2002;317.96;;9/4/2002;330.34;;9/4/2002;225.41;;9/4/2002;180.92;;9/4/2002;209.15;;9/4/2002;182.71;;9/4/2002;289.36;;9/4/2002;296.82;;9/4/2002;228.4;;9/4/2002;410.95;;9/4/2002;104.76;;9/4/2002;163.58;;9/4/2002;89.57;;9/4/2002;89.27;;9/4/2002;122.77;;9/4/2002;260.03;;9/4/2002;206.48;;9/4/2002;250.91;;9/4/2002;249.27;;9/4/2002;173.76;;9/4/2002;177.1;;9/4/2002;126.83;;9/4/2002;128.25;;9/4/2002;140.8
